parent2_code,parent2_name_EN
A00,Cholera
A01,Typhoid and paratyphoid fevers
A02,Other salmonella infections
A03,Shigellosis
A04,Other bacterial intestinal infections
A05,"Other bacterial foodborne intoxications, not elsewhere classified"
A06,Amoebiasis
A07,Other protozoal intestinal diseases
A08,Viral and other specified intestinal infections
A09,"Infectious gastroenteritis and colitis, unspecified"
A15,"Tuberculosis of lung, confirmed bacteriologically and histologically"
A16,"Tuberculosis of lung, not confirmed bacteriologically or histologically"
A17,Tuberculosis of nervous system
A18,Tuberculosis of other organs
A19,Miliary tuberculosis
A21,Tularemia
A25,Rat-bite fevers
A26,Erysipeloid
A27,Leptospirosis
A28,"Other zoonotic bacterial diseases, not elsewhere classified"
A30,Leprosy [Hansen's disease]
A31,Infection due to other mycobacteria
A32,Listeriosis
A37,Whooping cough [pertussis]
A38,Scarlet fever
A39,Meningococcal infection
A40,Streptococcal septicaemia
A41,Other sepsis
A42,Actinomycosis
A46,Erysipelas
A48,"Other bacterial diseases, not elsewhere classified"
A49,Bacterial infection of unspecified site
A50,Congenital syphilis
A51,Early syphilis
A52,Late syphilis
A53,Other and unspecified syphilis
A54,Gonococcal infection
A56,Other sexually transmitted chlamydial diseases
A59,Trichomoniasis
A60,Anogenital herpesviral [herpes simplex] infections
A63,"Other predominantly sexually transmitted diseases, not elsewhere classified"
A64,Unspecified sexually transmitted disease
A66,Yaws
A67,Yaws
A68,Relapsing fevers
A69,Other spirochetal infections
A70,Chlamydia psittaci infection
A74,Other diseases caused by chlamydiae
A77,Spotted fever
A79,Other rickettsioses
A81,Atypical virus infections of central nervous system
A83,Mosquito-borne viral encephalitis
A84,Tick-borne viral encephalitis
A85,"Other viral encephalitis, not elsewhere classified"
A86,Unspecified viral encephalitis
A87,Viral meningitis
A88,"Other viral infections of central nervous system, not elsewhere classified"
A89,Unspecified viral infection of central nervous system
A90,Dengue fever [classical dengue]
A92,Other mosquito-borne viral fevers
A93,"Other arthropod-borne viral fevers, not elsewhere classified"
A94,Unspecified arthropod-borne viral encephalitis
A96,Arenaviral haemorrhagic fever
A98,"Other viral haemorrhagic fevers, not elsewhere classified"
A99,Unspecified viral haemorrhagic fever
B00,Herpesviral [herpes simplex] infections
B01,Varicella [chickenpox]
B02,Zoster [herpes zoster]
B03,Smallpox
B04,Smallpox
B05,Measles
B06,Rubella [German measles]
B07,Viral warts
B08,"Other viral infections characterized by skin and mucous membrane lesions, not elsewhere classified"
B09,Unspecified viral infection characterized by skin and mucous membrane lesions
B15,Acute hepatitis A
B16,Acute hepatitis B
B17,Other acute viral hepatitis
B18,Chronic viral hepatitis
B19,Unspecified viral hepatitis
B20,Human immunodeficiency virus [HIV] disease resulting in infectious and parasitic diseases
B21,Human immunodeficiency virus [HIV] disease resulting in malignant neoplasms
B22,Human immunodeficiency virus [HIV] disease resulting in other specified diseases
B23,Human immunodeficiency virus [HIV] disease resulting in other conditions
B24,Unspecified human immunodeficiency virus [HIV] disease
B25,Cytomegaloviral disease
B26,Mumps
B27,Infectious mononucleosis
B30,Viral conjunctivitis
B33,"Other viral diseases, not elsewhere classified"
B34,Viral infection of unspecified site
B35,Dermatophytosis
B36,Other superficial mycoses
B37,Candidiasis
B38,Coccidioidomycosis
B39,Histoplasmosis
B40,Blastomycosis
B43,Chromomycosis and phaeohyphomycosis
B44,Aspergillosis
B45,Cryptococcosis
B46,Zygomycosis
B47,Mycetoma
B48,"Other mycoses, not elsewhere classified"
B49,Unspecified mycosis
B50,Plasmodium falciparum malaria
B51,Plasmodium vivax malaria
B52,Plasmodium malariae malaria
B53,Other confirmed malaria and parastic diseases
B54,Unspecified malaria
B55,Leishmaniasis
B57,Chagas' disease
B58,Toxoplasmosis
B59,"Pneumocystosis, not elsewhere classified"
B60,"Other protozoal diseases, not elsewhere classified"
B64,Unspecified protozoal disease
B65,Schistosomiasis [bilharziasis]
B66,Other fluke infections
B67,Echinococcosis
B68,Taeniasis
B69,Cysticercosis
B70,Diphyllobothriasis and sparganosis
B71,Other cestode infections
B73,Onchocerciasis
B76,Hookworm diseases
B77,Ascariasis
B78,Strongyloidiasis
B80,Enterobiasis
B81,"Other intestinal helminthiases, not elsewhere classified"
B82,Unspecified intestinal parasitism
B83,Other helminthiases
B85,Pediculosis and phthiriasis
B86,Scabies
B87,Myiasis
B88,Other infestations
B89,Unspecified parasitic disease
B90,Sequelae of tuberculosis
B91,Sequelae of poliomyelitis
B94,Sequelae of other and unspecified infectious and parasitic diseases
B95,"Streptococcus, Staphylococcus and Enterococcus as the cause of diseases classified elsewhere"
B96,Other bacterial agents as the cause of diseases classified elsewhere
B97,Viral agents as the cause of diseases classified elsewhere
B99,Other and unspecified infectious diseases
C00,Malignant neoplasm of lip
C01,Malignant neoplasm of base of tongue
C02,Malignant neoplasm of other and unspecified parts of tongue
C03,Malignant neoplasm of gum
C04,Malignant neoplasm of floor of mouth
C05,Malignant neoplasm of palate
C06,Malignant neoplasm of other and unspecified parts of mouth
C07,Malignant neoplasm of parotid gland
C08,Malignant neoplasm of other and unspecified major salivary glands
C09,Malignant neoplasm of tonsil
C10,Malignant neoplasm of oropharynx
C11,Malignant neoplasm of nasopharynx
C12,Malignant neoplasm of pyriform sinus
C13,Malignant neoplasm of hypopharynx
C14,"Malignant neoplasm of other and ill-defined sites in lip, oral cavity and pharynx"
C15,Malignant neoplasm of oesophagus
C16,Malignant neoplasm of stomach
C17,Malignant neoplasm of small intestine
C18,Malignant neoplasm of colon
C19,Malignant neoplasm of rectosigmoid junction
C20,Malignant neoplasm of rectum
C21,Malignant neoplasm of anus and anal canal
C22,Malignant neoplasm of liver and intrahepatic bile ducts
C23,Malignant neoplasm of gallbladder
C24,Malignant neoplasm of other and unspecified parts of biliary tract
C25,Malignant neoplasm of pancreas
C26,Malignant neoplasm of other and ill-defined digestive organs
C30,Malignant neoplasm of nasal cavity and middle ear
C31,Malignant neoplasm of accessory sinuses
C32,Malignant neoplasm of larynx
C33,Malignant neoplasm of trachea
C34,Malignant neoplasm of bronchus and lung
C37,Malignant neoplasm of thymus
C38,"Malignant neoplasm of heart, mediastinum and pleura"
C39,Malignant neoplasm of other and ill-defined sites in the respiratory system and intrathoracic organs
C40,Malignant neoplasm of bone and articular cartilage of limbs
C41,Malignant neoplasm of bone and articular cartilage of other and unspecified sites
C43,Malignant melanoma of skin
C44,Other and unspecified malignant neoplasm of skin
C45,Mesothelioma
C46,Kaposi's sarcoma
C47,Malignant neoplasm of peripheral nerves and autonomic nervous system
C48,Malignant neoplasm of retroperitoneum and peritoneum
C49,Malignant neoplasm of other connective and soft tissue
C50,Malignant neoplasm of breast
C51,Malignant neoplasm of vulva
C52,Malignant neoplasm of vagina
C53,Malignant neoplasm of cervix uteri
C54,Malignant neoplasm of corpus uteri
C55,"Malignant neoplasm of uterus, unspecified"
C56,Malignant neoplasm of ovary
C57,Malignant neoplasm of other and unspecified female genital organs
C58,Malignant neoplasm of placenta
C60,Malignant neoplasm of penis
C61,Malignant neoplasm of prostate
C62,Malignant neoplasm of testis
C63,Malignant neoplasm of other and unspecified male genital organs
C64,"Malignant neoplasm of kidney, except renal pelvis"
C65,Malignant neoplasm of renal pelvis
C66,Malignant neoplasm of ureter
C67,Malignant neoplasm of bladder
C68,Malignant neoplasm of other and unspecified urinary organs
C69,Malignant neoplasm of eye and adnexa
C70,Malignant neoplasm of meninges
C71,Malignant neoplasm of brain
C72,"Malignant neoplasm of spinal cord, cranial nerves and other parts of central nervous system"
C73,Malignant neoplasm of thyroid gland
C74,Malignant neoplasm of adrenal gland
C75,Malignant neoplasm of other endocrine glands and related structures
C76,Malignant neoplasm of other and ill-defined sites
C77,Secondary and unspecified malignant neoplasm of lymph nodes
C78,Secondary malignant neoplasm of respiratory and digestive organs
C79,Secondary malignant neoplasm of other sites
C80,"Malignant neoplasm, unspecified"
C81,Hodgkin lymphoma
C82,Follicular lymphoma
C83,Non-Hodgkin lymphoma
C84,Peripheral and cutaneous T-cell lymphomas
C85,Other and unspecified non-Hodgkin lymphoma
C88,Malignant immunoproliferative diseases
C90,Multiple myeloma and malignant plasma cell neoplasms
C91,Lymphoid leukemia
C92,Myeloid leukaemia
C93,Monocytic leukaemia
C94,Other leukaemias of specified cell type
C95,Leukaemia of unspecified cell type
C96,"Other and unspecified malignant neoplasms of lymphoid, haematopoietic and related tissue"
C97,Malignant neoplasms of independent (primary) multiple sites
D00,"Carcinoma in situ of oral cavity, oesophagus and stomach"
D01,Carcinoma in situ of other and unspecified digestive organs
D02,Carcinoma in situ of middle ear and respiratory system
D03,Melanoma in situ
D04,Carcinoma in situ of skin
D05,Carcinoma in situ of breast
D06,Carcinoma in situ of cervix uteri
D07,Carcinoma in situ of other and unspecified sites
D09,Carcinoma in situ of other and unspecified sites
D10,Benign neoplasm of mouth and pharynx
D11,Benign neoplasm of major salivary glands
D12,"Benign neoplasm of colon, rectum, anus and anal canal"
D13,Benign neoplasm of other and ill-defined parts of digestive system
D14,Benign neoplasm of middle ear and respiratory system
D15,Benign neoplasm of other and unspecified endocrine glands
D16,Benign neoplasm of bone and articular cartilage
D17,Benign lipomatous neoplasm
D18,Hemangioma and lymphangioma any site
D19,Benign neoplasm of mesothelial tissue
D20,Benign neoplasm of soft tissue of retroperitoneum and peritoneum
D21,Other benign neoplasms of connective and other soft tissue
D22,Melanocytic nevi
D23,Other benign neoplasms of skin
D24,Benign neoplasm of breast
D25,Leiomyoma of uterus
D26,Other benign neoplasms of uterus
D27,Benign neoplasm of ovary
D28,Benign neoplasm of other and unspecified female genital organs
D29,Benign neoplasm of male genital organs
D30,Benign neoplasm of urinary organs
D31,Benign neoplasm of eye and adnexa
D32,Benign neoplasm of meninges
D33,Benign neoplasm of brain and other parts of central nervous system
D34,Benign neoplasm of thyroid gland
D35,Benign neoplasm of other and unspecified endocrine glands
D36,Benign neoplasm of other and unspecified sites
D37,Neoplasm of uncertain behavior of oral cavity and digestive organs
D38,Neoplasm of uncertain behavior of middle ear and respiratory and intrathoracic organs
D39,Neoplasm of uncertain behavior of female genital organs
D40,Neoplasm of uncertain or unknown behaviour of male genital organs
D41,Neoplasm of uncertain behavior of urinary organs
D42,Neoplasm of uncertain or unknown behaviour of meninges
D43,Neoplasm of uncertain or unknown behaviour of brain and central nervous system
D44,Neoplasm of uncertain behavior of endocrine glands
D45,Polycythemia vera
D46,Myelodysplastic syndromes
D47,Other neoplasms of uncertain behavior of lymphoid hematopoietic and related tissue
D48,Neoplasm of uncertain behavior of other and unspecified sites
D50,Iron deficiency anemia
D51,Vitamin B12 deficiency anemia
D52,Folate deficiency anemia
D53,Other nutritional anaemias
D55,Anaemia due to enzyme disorders
D56,Thalassaemia
D57,Sickle-cell disorders
D58,Other hereditary haemolytic anaemias
D59,Acquired haemolytic anaemia
D60,Acquired pure red cell aplasia [erythroblastopenia]
D61,Other aplastic anaemias
D62,Acute posthemorrhagic anemia
D63,Anemia in chronic diseases classified elsewhere
D64,Other anemias
D65,Disseminated intravascular coagulation [defibrination syndrome]
D66,Hereditary factor VIII deficiency
D68,Other coagulation defects
D69,Purpura and other hemorrhagic conditions
D70,Neutropenia
D71,Functional disorders of polymorphonuclear neutrophils
D72,Other disorders of white blood cells
D73,Diseases of spleen
D74,Methaemoglobinaemia
D75,Other and unspecified diseases of blood and blood-forming organs
D76,Certain diseases involving lymphoreticular tissue and histiocytic-mast cell disorders
D77,Other disorders of blood and blood-forming organs in diseases classified elsewhere
D80,Immunodeficiencies with predominantly antibody defects
D81,Combined immunodeficiencies
D82,Immunodeficiency associated with other major defects
D83,Common variable immunodeficiency
D84,Other immunodeficiencies
D86,Sarcoidosis
D89,"Other disorders involving the immune mechanism, not elsewhere classified"
E00,Congenital iodine-deficiency syndrome
E01,Iodine-deficiency-related thyroid disorders and allied conditions
E02,Subclinical iodine-deficiency hypothyroidism
E03,Other hypothyroidism
E04,Other nontoxic goiter
E05,Thyrotoxicosis [hyperthyroidism]
E06,Thyroiditis
E07,Other disorders of thyroid
E10,Type 1 diabetes mellitus
E11,Type 2 diabetes mellitus
E12,Malnutrition-related diabetes mellitus
E13,Other specified diabetes mellitus
E14,Unspecified diabetes mellitus
E15,Nondiabetic hypoglycaemic coma
E16,Other disorders of pancreatic internal secretion
E20,Hypoparathyroidism
E21,Hyperparathyroidism and other disorders of parathyroid gland
E22,Hyperfunction of pituitary gland
E23,Hypofunction and other disorders of the pituitary gland
E24,Cushing's syndrome
E25,Adrenogenital disorders
E26,Hyperaldosteronism
E27,Other disorders of adrenal gland
E28,Ovarian dysfunction
E29,Testicular dysfunction
E30,"Disorders of pubertal development, not elsewhere classified"
E31,Polyglandular dysfunction
E32,Diseases of thymus
E34,"Other endocrine disorders, not elsewhere classified"
E35,Disorders of endocrine glands in diseases classified elsewhere
E40,Kwashiorkor
E41,Nutritional marasmus
E42,Marasmic kwashiorkor
E43,Unspecified severe protein-energy malnutrition
E44,Moderate and mild protein-energy malnutrition
E45,Developmental delay due to protein-energy malnutrition
E46,Unspecified protein-energy malnutrition
E50,Vitamin A deficiency
E51,Thiamine deficiency
E53,Deficiency of other B group vitamins
E54,Ascorbic acid deficiency
E55,Vitamin D deficiency
E56,Other vitamin deficiencies
E58,Dietary calcium deficiency
E59,Dietary selenium deficiency
E60,Dietary zinc deficiency
E61,Deficiency of other nutrient elements
E63,Other nutritional deficiencies
E64,Sequelae of malnutrition and other nutritional deficiencies
E65,Localized adiposity
E66,Overweight and obesity
E67,Other hyperalimentation
E68,Sequelae of hyperalimentation
E70,Disorders of aromatic amino-acid metabolism
E71,Disorders of branched-chain amino-acid metabolism and fatty-acid metabolism
E72,Other disorders of amino-acid metabolism
E73,Lactose intolerance
E74,Other disorders of carbohydrate metabolism
E75,Disorders of sphingolipid metabolism and other lipid storage disorders
E76,Disorders of glycosaminoglycan metabolism
E77,Disorders of glycoprotein metabolism
E78,Disorders of lipoprotein metabolism and other lipidemias
E79,Disorders of purine and pyrimidine metabolism
E80,Disorders of porphyrin and bilirubin metabolism
E83,Disorders of mineral metabolism
E84,Cystic fibrosis
E85,Amyloidosis
E86,Volume depletion
E87,"Other disorders of fluid, electrolyte and acid-base balance"
E88,Other metabolic disorders
E89,"Postprocedural endocrine and metabolic complications and disorders, not elsewhere classified"
E90,Nutritional and metabolic disorders in diseases classified elsewhere
F00,Dementia in Alzheimer disease
F01,Vascular dementia
F02,Dementia in other diseases classified elsewhere
F03,Unspecified dementia
F04,"Organic amnesic syndrome, not induced by alcohol and other substances"
F05,"Delirium, not induced by alcohol and other psychoactive substances"
F06,Other mental disorders due to known physiological condition
F07,Personality and behavioral disorders due to known physiological condition
F09,Unspecified organic or symptomatic mental disorder
F10,Alcohol related disorders
F11,Opioid related disorders
F12,Mental and behavioural disorders due to use of cannabinoids
F13,"Sedative, hypnotic, or anxiolytic related disorders"
F14,Mental and behavioural disorders due to use of cocaine
F15,"Mental and behavioural disorders due to use of other stimulants, including caffeine"
F16,Mental and behavioural disorders due to use of hallucinogens
F17,Nicotine dependence
F18,Mental and behavioural disorders due to use of volatile solvents
F19,Other psychoactive substance related disorders
F20,Schizophrenia
F21,Schizotypal disorder
F22,Delusional disorders
F23,Brief psychotic disorder
F24,Induced delusional disorder
F25,Schizoaffective disorders
F28,Other nonorganic psychotic disorders
F29,Unspecified nonorganic psychosis
F30,Manic episode
F31,Bipolar disorder
F32,"Major depressive disorder, single episode"
F33,"Major depressive disorder, recurrent"
F34,Persistent mood [affective] disorders
F38,Other mood [affective] disorders
F39,Unspecified mood [affective] disorder
F40,Phobic anxiety disorders
F41,Other anxiety disorders
F42,Obsessive-compulsive disorder
F43,"Reaction to severe stress, and adjustment disorders"
F44,Dissociative and conversion disorders
F45,Somatoform disorders
F48,Other nonpsychotic mental disorders
F50,Eating disorders
F51,Sleep disorders not due to a substance or known physiological condition
F52,Sexual dysfunction not due to a substance or known physiological condition
F53,"Mental and behavioural disorders associated with the puerperium, not elsewhere classified"
F54,Psychological and behavioural factors associated with disorders or diseases classified elsewhere
F55,Abuse of non-dependence-producing substances
F59,Unspecified behavioural syndromes associated with physiological disturbances and physical factors
F60,Specific personality disorders
F61,Mixed and other personality disorders
F62,"Enduring personality changes, not attributable to brain damage and disease"
F63,Habit and impulse disorders
F64,Gender identity disorders
F65,Disorders of sexual preference
F66,Psychological and behavioural disorders associated with sexual development and orientation
F68,Other disorders of adult personality and behaviour
F69,Unspecified disorder of adult personality and behaviour
F70,Mild intellectual disabilities
F71,Moderate intellectual disabilities
F72,Severe mental retardation
F73,Profound mental retardation
F78,Other mental retardation
F79,Unspecified mental retardation
F80,Specific developmental disorders of speech and language
F81,Specific developmental disorders of scholastic skills
F82,Specific developmental disorder of motor function
F83,Mixed specific developmental disorders
F84,Pervasive developmental disorders
F88,Other disorders of psychological development
F89,Unspecified disorder of psychological development
F90,Attention-deficit hyperactivity disorders
F91,Conduct disorders
F92,Mixed disorders of conduct and emotions
F93,Emotional disorders specific to childhood
F94,Disorders of social functioning specific to childhood and adolescence
F95,Tic disorder
F98,Other behavioral and emotional disorders with onset usually occurring in childhood and adolescence
F99,"Mental disorder, not otherwise specified"
G00,"Bacterial meningitis, not elsewhere classified"
G01,Meningitis in bacterial diseases classified elsewhere
G02,Meningitis in other infectious and parasitic diseases classified elsewhere
G03,Meningitis due to other and unspecified causes
G04,"Encephalitis, myelitis and encephalomyelitis"
G05,"Encephalitis, myelitis and encephalomyelitis in diseases classified elsewhere"
G06,Intracranial and intraspinal abscess and granuloma
G09,Sequelae of inflammatory diseases of central nervous system
G10,Huntington's disease
G11,Hereditary ataxia
G12,Spinal muscular atrophy and related syndromes
G13,Systemic atrophies primarily affecting central nervous system in diseases classified elsewhere
G20,Parkinson disease
G21,Secondary parkinsonism
G22,Parkinsonism in diseases classified elsewhere
G23,Other degenerative diseases of basal ganglia
G24,Dystonia
G25,Other extrapyramidal and movement disorders
G26,Extrapyramidal and movement disorders in diseases classified elsewhere
G30,Alzheimer's disease
G31,"Other degenerative diseases of nervous system, not elsewhere classified"
G32,Other disorders of nervous system in diseases classified elsewhere
G35,Multiple sclerosis
G36,Other acute disseminated demyelination
G37,Other demyelinating diseases of central nervous system
G40,Epilepsy and recurrent seizures
G41,Status epilepticus
G43,Migraine
G44,Other headache syndromes
G45,Transient cerebral ischemic attacks and related syndromes
G46,Vascular syndromes of brain in cerebrovascular diseases
G47,Sleep disorders
G50,Disorders of trigeminal nerve
G51,Facial nerve disorders
G52,Disorders of other cranial nerves
G53,Cranial nerve disorders in diseases classified elsewhere
G54,Nerve root and plexus disorders
G55,Nerve root and plexus compressions in diseases classified elsewhere
G56,Mononeuropathies of upper limb
G57,Mononeuropathies of lower limb
G58,Other mononeuropathies
G59,Mononeuropathy in diseases classified elsewhere
G60,Hereditary and idiopathic neuropathy
G61,Inflammatory polyneuropathy
G62,Other and unspecified polyneuropathies
G63,Polyneuropathy in diseases classified elsewhere
G64,Other disorders of peripheral nervous system
G70,Myasthenia gravis and other neuromuscular junction disorders
G71,Primary disorders of muscles
G72,Other myopathies
G73,Disorders of myoneural junction and muscle in diseases classified elsewhere
G80,Cerebral palsy
G81,Hemiplegia and hemiparesis
G82,Paraplegia (paraparesis) and quadriplegia (quadriparesis)
G83,Other paralytic syndromes
G90,Disorders of autonomic nervous system
G91,Hydrocephalus
G92,Toxic encephalopathy
G93,Other disorders of brain
G94,Other disorders of brain in diseases classified elsewhere
G95,Other diseases of spinal cord
G96,Other disorders of central nervous system
G97,"Postprocedural disorders of nervous system, not elsewhere classified"
G98,"Other disorders of nervous system, not elsewhere classified"
G99,Other disorders of nervous system in diseases classified elsewhere
H00,Hordeolum and chalazion
H01,Other inflammation of eyelid
H02,Other disorders of eyelid
H03,Disorders of eyelid in diseases classified elsewhere
H04,Disorders of lacrimal system
H05,Disorders of orbit
H06,Disorders of lacrimal system and orbit in diseases classified elsewhere
H10,Conjunctivitis
H11,Other disorders of conjunctiva
H13,Disorders of conjunctiva in diseases classified elsewhere
H15,Disorders of sclera
H16,Keratitis
H17,Corneal scars and opacities
H18,Other disorders of cornea
H19,Disorders of sclera and cornea in diseases classified elsewhere
H20,Iridocyclitis
H21,Other disorders of iris and ciliary body
H22,Disorders of iris and ciliary body in diseases classified elsewhere
H25,Age-related cataract
H26,Other cataract
H27,Other disorders of lens
H28,Other disorders of iris and ciliary body in diseases classified elsewhere
H30,Chorioretinal inflammation
H31,Other disorders of choroid
H32,Chorioretinal inflammation and disorders in diseases classified elsewhere
H33,Retinal detachments and breaks
H34,Retinal vascular occlusions
H35,Other retinal disorders
H36,Retinal disorders in diseases classified elsewhere
H40,Glaucoma
H42,Glaucoma in diseases classified elsewhere
H43,Disorders of vitreous body
H44,Disorders of globe
H45,Disorders of vitreous body and globe in diseases classified elsewhere
H46,Optic neuritis
H47,Disorders of optic nerve and visual pathways
H48,Disorders of optic nerve and visual pathways in diseases classified elsewhere
H49,Paralytic strabismus
H50,Other disorders of binocular movement
H51,Other disorders of binocular movement
H52,Disorders of refraction and accommodation
H53,Visual disturbances
H54,Blindness and low vision
H55,Nystagmus and other irregular eye movements
H57,Other disorders of eye and adnexa
H58,Other disorders of eye and adnexa in diseases classified elsewhere
H59,"Postprocedural disorders of eye and adnexa, not elsewhere classified"
H60,Otitis externa
H61,Other disorders of external ear
H62,Disorders of external ear in diseases classified elsewhere
H65,Nonsuppurative otitis media
H66,Suppurative and unspecified otitis media
H67,Otitis media in diseases classified elsewhere
H68,Eustachian salpingitis and obstruction
H69,Other and unspecified disorders of Eustachian tube
H70,Mastoiditis and related conditions
H71,Cholesteatoma of middle ear
H72,Perforation of tympanic membrane
H73,Other disorders of tympanic membrane
H74,Other disorders of middle ear mastoid
H75,Other disorders of middle ear and mastoid in diseases classified elsewhere
H80,Otosclerosis
H81,Disorders of vestibular function
H82,Vertiginous syndromes in diseases classified elsewhere
H83,Other disorders of inner ear
H90,Conductive and sensorineural hearing loss
H91,Other and unspecified hearing loss
