parent2_code,parent2_name_EN
H92,Otalgia and effusion of ear
H93,"Other disorders of ear, not elsewhere classified"
H94,Other disorders of ear in diseases classified elsewhere
H95,"Postprocedural disorders of ear and mastoid process, not elsewhere classified"
I00,Rheumatic fever without mention of heart involvement
I01,Rheumatic fever with heart involvement
I02,Rheumatic chorea
I05,Rheumatic mitral valve diseases
I06,Rheumatic aortic valve diseases
I07,Rheumatic tricuspid valve diseases
I08,Rheumatic disorders of both mitral and aortic valves
I09,Other rheumatic heart diseases
I10,Essential (primary) hypertension
I11,Hypertensive heart disease
I12,Hypertensive chronic kidney disease
I13,Hypertensive heart and chronic kidney disease
I15,Secondary hypertension
I20,Angina pectoris
I21,Acute myocardial infarction
I22,Subsequent ST elevation (STEMI) and non-ST elevation (NSTEMI) myocardial infarction
I23,Certain current complications following acute myocardial infarction
I24,Other acute ischaemic heart diseases
I25,Chronic ischemic heart disease
I26,Pulmonary embolism
I27,Other pulmonary heart diseases
I28,Other diseases of pulmonary vessels
I30,Acute pericarditis
I31,Other diseases of pericardium
I32,Pericarditis in diseases classified elsewhere
I33,Acute and subacute endocarditis
I34,Nonrheumatic mitral valve disorders
I35,Nonrheumatic aortic valve disorders
I36,Nonrheumatic tricuspid valve disorders
I37,Pulmonary valve disorders
I38,"Endocarditis, valve unspecified"
I39,Endocarditis and heart valve disorders in diseases classified elsewhere
I40,Acute myocarditis
I41,Myocarditis in diseases classified elsewhere
I42,Cardiomyopathy
I43,Cardiomyopathy in diseases classified elsewhere
I44,Atrioventricular and left bundle-branch block
I45,Other conduction disorders
I46,Cardiac arrest
I47,Paroxysmal tachycardia
I48,Atrial fibrillation and flutter
I49,Other cardiac arrhythmias
I50,Heart failure
I51,Complications and ill-defined descriptions of heart disease
I52,Other heart disorders in diseases classified elsewhere
I60,Subarachnoid haemorrhage
I61,Nontraumatic intracerebral hemorrhage
I62,Other intracranial haemorrhage
I63,Cerebral infarction
I64,"Stroke, not specified as haemorrhage or infarction"
I65,"Occlusion and stenosis of precerebral arteries, not resulting in cerebral infarction"
I66,"Occlusion and stenosis of cerebral arteries, not resulting in cerebral infarction"
I67,Other cerebrovascular diseases
I68,Cerebrovascular disorders in diseases classified elsewhere
I69,Sequelae of cerebrovascular disease
I70,Atherosclerosis
I71,Aortic aneurysm and dissection
I72,Other aneurysm
I73,Other peripheral vascular diseases
I74,Arterial embolism and thrombosis
I77,Other disorders of arteries and arterioles
I78,Diseases of capillaries
I79,"Disorders of arteries, arterioles and capillaries in diseases classified elsewhere"
I80,Phlebitis and thrombophlebitis
I81,Portal vein thrombosis
I82,Other venous embolism and thrombosis
I83,Varicose veins of lower extremities
I84,Hemorrhoids
I85,Oesophageal varices
I86,Varicose veins of other sites
I87,Other disorders of veins
I88,Nonspecific lymphadenitis
I89,Other noninfective disorders of lymphatic vessels and lymph nodes
I95,Hypotension
I97,"Intraoperative and postprocedural complications and disorders of circulatory system, not elsewhere classified"
I98,Other disorders of circulatory system in diseases classified elsewhere
I99,Other and unspecified disorders of circulatory system
J00,Acute nasopharyngitis [common cold]
J01,Acute sinusitis
J02,Acute pharyngitis
J03,Acute tonsillitis
J04,Acute laryngitis and tracheitis
J05,Acute obstructive laryngitis [croup] and epiglottitis
J06,Acute upper respiratory infections of multiple and unspecified sites
J09,Influenza due to identified zoonotic or pandemic influenza virus
J10,Influenza due to other identified influenza virus
J11,Influenza due to unidentified influenza virus
J12,"Viral pneumonia, not elsewhere classified"
J13,Pneumonia due to Streptococcus pneumoniae
J14,Pneumonia due to Haemophilus influenzae
J15,"Bacterial pneumonia, not elsewhere classified"
J16,"Pneumonia due to other infectious organisms, not elsewhere classified"
J17,Pneumonia in diseases classified elsewhere
J18,"Pneumonia, unspecified organism"
J20,Acute bronchitis
J21,Acute bronchiolitis
J22,Unspecified acute lower respiratory infection
J30,Vasomotor and allergic rhinitis
J31,"Chronic rhinitis, nasopharyngitis and pharyngitis"
J32,Chronic sinusitis
J33,Nasal polyp
J34,Other and unspecified disorders of nose and nasal sinuses
J35,Chronic diseases of tonsils and adenoids
J36,Peritonsillar abscess
J37,Chronic laryngitis and laryngotracheitis
J38,"Diseases of vocal cords and larynx, not elsewhere classified"
J39,Other diseases of upper respiratory tract
J40,"Bronchitis, not specified as acute or chronic"
J41,Simple and mucopurulent chronic bronchitis
J42,Unspecified chronic bronchitis
J43,Emphysema
J44,Other chronic obstructive pulmonary disease
J45,Asthma
J46,Status asthmaticus
J47,Bronchiectasis
J60,Coalworker's pneumoconiosis
J61,Pneumoconiosis due to asbestos and other mineral fibres
J62,Pneumoconiosis due to dust containing silica
J63,Pneumoconiosis due to other inorganic dusts
J64,Unspecified pneumoconiosis
J65,Pneumoconiosis associated with tuberculosis
J66,Airway disease due to specific organic dust
J67,Hypersensitivity pneumonitis due to organic dust
J68,"Respiratory conditions due to inhalation of chemicals, gases, fumes and vapours"
J69,Pneumonitis due to solids and liquids
J70,Respiratory conditions due to other external agents
J80,"Alveolar haemorrhage, not elsewhere classified"
J81,Pulmonary oedema
J82,"Pulmonary eosinophilia, not elsewhere classified"
J84,Other interstitial pulmonary diseases
J85,Abscess of lung and mediastinum
J86,Pyothorax
J90,"Pleural effusion, not elsewhere classified"
J91,"Pleural effusion, not elsewhere classified"
J92,Pleural plaque
J93,Pneumothorax
J94,Other pleural conditions
J95,"Postprocedural respiratory disorders, not elsewhere classified"
J96,"Respiratory failure, not elsewhere classified"
J98,Other respiratory disorders
J99,Respiratory disorders in diseases classified elsewhere
K00,Disorders of tooth development and eruption
K01,Embedded and impacted teeth
K02,Dental caries
K03,Other diseases of hard tissues of teeth
K04,Diseases of pulp and periapical tissues
K05,Gingivitis and periodontal diseases
K06,Other disorders of gingiva and edentulous alveolar ridge
K07,Dentofacial anomalies [including malocclusion]
K08,Other disorders of teeth and supporting structures
K09,Other disorders of jaw
K10,Other diseases of jaws
K11,Diseases of salivary glands
K12,Stomatitis and related lesions
K13,Other diseases of lip and oral mucosa
K14,Diseases of tongue
K20,Esophagitis
K21,Gastro-esophageal reflux disease
K22,Other diseases of esophagus
K23,Disorders of oesophagus in diseases classified elsewhere
K25,Gastric ulcer
K26,Duodenal ulcer
K27,"Peptic ulcer, site unspecified"
K28,Gastrojejunal ulcer
K29,Gastritis and duodenitis
K30,Functional dyspepsia
K31,Other diseases of stomach and duodenum
K35,Acute appendicitis
K36,Other specified disorders of appendix
K37,Unspecified appendicitis
K38,Other disorders of appendix
K40,Inguinal hernia
K41,Femoral hernia
K42,Umbilical hernia
K43,Ventral hernia
K44,Diaphragmatic hernia
K45,Other abdominal hernia
K46,Unspecified abdominal hernia
K50,Crohn disease [regional enteritis]
K51,Ulcerative colitis
K52,Other and unspecified noninfective gastroenteritis and colitis
K55,Vascular disorders of intestine
K56,Paralytic ileus and intestinal obstruction without hernia
K57,Diverticular disease of intestine
K58,Irritable bowel syndrome
K59,Other functional intestinal disorders
K60,Fissure and fistula of anal and rectal regions
K61,Abscess of anal and rectal regions
K62,Other diseases of anus and rectum
K63,Other diseases of intestine
K65,Peritonitis
K66,Other disorders of peritoneum
K67,Disorders of peritoneum in infectious diseases classified elsewhere
K70,Alcoholic liver disease
K71,Toxic liver disease
K72,"Hepatic failure, not elsewhere classified"
K73,"Chronic hepatitis, not elsewhere classified"
K74,Fibrosis and cirrhosis of liver
K75,Other inflammatory liver diseases
K76,Other diseases of liver
K77,Disorders of liver and gallbladder in diseases classified elsewhere
K80,Cholelithiasis
K81,Cholecystitis
K82,Other diseases of gallbladder
K83,Other diseases of biliary tract
K85,Acute pancreatitis
K86,Other diseases of pancreas
K87,"Disorders of gallbladder, biliary tract and pancreas in diseases classified elsewhere"
K90,Intestinal malabsorption
K91,"Intraoperative and postprocedural complications and disorders of digestive system, not elsewhere classified"
K92,Other diseases of digestive system
K93,Disorders of other digestive organs in diseases classified elsewhere
L00,Staphylococcal scalded skin syndrome
L01,Impetigo
L02,"Cutaneous abscess, furuncle and carbuncle"
L03,Cellulitis and acute lymphangitis
L04,Acute lymphadenitis
L05,Pilonidal cyst and sinus
L08,Other local infections of skin and subcutaneous tissue
L10,Pemphigus
L11,Other disorders of skin and appendages
L12,Pemphigoid
L13,Other bullous disorders
L14,Bullous disorders in diseases classified elsewhere
L20,Atopic dermatitis
L21,Seborrheic dermatitis
L22,Diaper (napkin) dermatitis
L23,Allergic contact dermatitis
L24,Irritant contact dermatitis
L25,Unspecified contact dermatitis
L26,Exfoliative dermatitis
L27,Dermatitis due to substances taken internally
L28,Lichen simplex chronicus and prurigo
L29,Pruritus
L30,Other and unspecified dermatitis
L40,Psoriasis
L41,Parapsoriasis
L42,Pityriasis rosea
L43,Lichen planus
L44,Other papulosquamous disorders
L45,Other papulosquamous disorders in diseases classified elsewhere
L50,Urticaria
L51,Erythema multiforme
L52,Erythema nodosum
L53,Other erythematous conditions
L54,Erythema in diseases classified elsewhere
L55,Sunburn
L56,Other acute skin changes due to ultraviolet radiation
L57,Skin changes due to chronic exposure to ultraviolet radiation
L58,Other specified disorders of skin and subcutaneous tissue related to radiation
L59,Other disorders of skin and subcutaneous tissue related to radiation
L60,Nail disorders
L62,Disorders of hair in diseases classified elsewhere
L63,Alopecia areata
L64,Androgenic alopecia
L65,Other nonscarring hair loss
L66,Alopecia areata
L67,Other disorders of hair and hair follicle
L68,Hypertrichosis
L70,Acne
L71,Rosacea
L72,Follicular cysts of skin and subcutaneous tissue
L73,Other follicular disorders
L74,Sweat gland disorders
L75,Apocrine sweat gland disorders
L80,Vitiligo
L81,Other disorders of pigmentation
L82,Seborrheic keratosis
L83,Acanthosis nigricans
L84,Corns and callosities
L85,Other epidermal thickening
L86,Other disorders of skin and subcutaneous tissue in diseases classified elsewhere
L87,Disorders of transepidermal elimination
L88,Pyoderma gangrenosum
L89,Pressure ulcer
L90,Atrophic disorders of skin
L91,Hypertrophic disorders of skin
L92,Granulomatous disorders of skin and subcutaneous tissue
L93,Lupus erythematosus
L94,Other localized connective tissue disorders
L95,"Vasculitis limited to skin, not elsewhere classified"
L97,"Non-pressure chronic ulcer of lower limb, not elsewhere classified"
L98,"Other disorders of skin and subcutaneous tissue, not elsewhere classified"
L99,Other disorders of skin and subcutaneous tissue in diseases classified elsewhere
M00,Pyogenic arthritis
M01,Direct infections of joint in infectious and parasitic diseases classified elsewhere
M02,Postinfective and reactive arthropathies
M03,Postinfective and reactive arthropathies in diseases classified elsewhere
M05,Rheumatoid arthritis with rheumatoid factor
M06,Other rheumatoid arthritis
M07,Enteropathic arthropathies
M08,Juvenile arthritis
M09,Juvenile arthritis in diseases classified elsewhere
M10,Gout
M11,Other crystal arthropathies
M12,Other and unspecified arthropathy
M13,Other arthritis
M14,Arthropathies in other diseases classified elsewhere
M15,Polyosteoarthritis
M16,Osteoarthritis of hip
M17,Osteoarthritis of knee
M18,Osteoarthritis of first carpometacarpal joint
M19,Other and unspecified osteoarthritis
M20,Acquired deformities of fingers and toes
M21,Other acquired deformities of limbs
M22,Disorder of patella
M23,Internal derangement of knee
M24,Other specific joint derangements
M25,"Other joint disorder, not elsewhere classified"
M30,Polyarteritis nodosa and related conditions
M31,Other necrotizing vasculopathies
M32,Systemic lupus erythematosus
M33,Dermatomyositis and polymyositis
M34,Systemic sclerosis
M35,Other systemic involvement of connective tissue
M36,Systemic disorders of connective tissue in diseases classified elsewhere
M40,Kyphosis and lordosis
M41,Scoliosis
M42,Spinal osteochondrosis
M43,Other deforming dorsopathies
M45,Ankylosing spondylitis
M46,Other inflammatory spondylopathies
M47,Spondylosis
M48,Other spondylopathies
M49,Spondylopathies in diseases classified elsewhere
M50,Cervical disc disorders
M51,"Thoracic, thoracolumbar, and lumbosacral intervertebral disc disorders"
M53,"Other and unspecified dorsopathies, not elsewhere classified"
M54,Dorsalgia
M60,Myositis
M61,Calcification and ossification of muscle
M62,Other disorders of muscle
M63,Disorders of synovium and tendon in diseases classified elsewhere
M65,Synovitis and tenosynovitis
M66,Spontaneous rupture of synovium and tendon
M67,Other disorders of synovium and tendon
M68,"Disorders of muscle, ligament and fascia in diseases classified elsewhere"
M70,"Soft tissue disorders related to use, overuse and pressure"
M71,Other bursopathies
M72,Fibroblastic disorders
M73,Soft tissue disorders in diseases classified elsewhere
M75,Shoulder lesions
M76,"Enthesopathies of lower limb, excluding foot"
M77,Other enthesopathies
M79,"Other and unspecified soft tissue disorders, not elsewhere classified"
M80,Osteoporosis with current pathological fracture
M81,Osteoporosis without current pathological fracture
M82,Osteoporosis in diseases classified elsewhere
M83,Osteomalacia in adults
M84,Disorder of continuity of bone
M85,Other disorders of bone density and structure
M86,Osteomyelitis
M87,Osteonecrosis
M88,Paget's disease of bone [osteitis deformans]
M89,Other disorders of bone
M90,Osteopathies in diseases classified elsewhere
M91,Juvenile osteochondrosis of hip and pelvis
M92,Juvenile osteochondrosis
M93,Other osteochondropathies
M94,Other disorders of cartilage
M95,Other acquired deformities of musculoskeletal system and connective tissue
M96,"Intraoperative and postprocedural complications and disorders of musculoskeletal system, not elsewhere classified"
M99,"Biomechanical lesions, not elsewhere classified"
N00,Acute nephritic syndrome
N01,Rapidly progressive nephritic syndrome
N02,Recurrent and persistent haematuria
N03,Chronic nephritic syndrome
N04,Nephrotic syndrome
N05,Unspecified nephritic syndrome
N06,Isolated proteinuria with specified morphological lesion
N07,"Hereditary nephropathy, not elsewhere classified"
N08,Glomerular disorders in diseases classified elsewhere
N10,Acute pyelonephritis
N11,Chronic tubulo-interstitial nephritis
N12,"Tubulo-interstitial nephritis, not specified as acute or chronic"
N13,Obstructive and reflux uropathy
N14,Drug- and heavy-metal-induced tubulo-interstitial and tubular conditions
N15,Other tubulo-interstitial diseases
N16,Renal tubulo-interstitial disorders in diseases classified elsewhere
N17,Acute kidney failure
N18,Chronic kidney disease
N19,Unspecified kidney failure
N20,Calculus of kidney and ureter
N21,Calculus of lower urinary tract
N22,Calculus of urinary tract in diseases classified elsewhere
N23,Unspecified renal colic
N25,Disorders of renal tubule function
N26,Unspecified contracted kidney
N27,Small kidney of unknown cause
N28,"Other disorders of kidney and ureter, not elsewhere classified"
N29,Other disorders of kidney and ureter in diseases classified elsewhere
N30,Cystitis
N31,"Neuromuscular dysfunction of bladder, not elsewhere classified"
N32,Other disorders of bladder
N33,Bladder disorders in diseases classified elsewhere
N34,Urethritis and urethral syndrome
N35,Urethral stricture
N36,Other disorders of urethra
N37,Urethral disorders in diseases classified elsewhere
N39,Other disorders of urinary system
N40,Benign prostatic hyperplasia
N41,Inflammatory diseases of prostate
N42,Other and unspecified disorders of prostate
N43,Hydrocele and spermatocele
N44,Hydrocele and spermatocele
N45,Orchitis and epididymitis
N46,Male infertility
N47,Disorders of prepuce
N48,Other disorders of penis
N49,"Inflammatory disorders of male genital organs, not elsewhere classified"
N50,Other and unspecified disorders of male genital organs
N51,Disorders of male genital organs in diseases classified elsewhere
N60,Benign mammary dysplasia
N61,Inflammatory disorders of breast
N62,Hypertrophy of breast
N63,Unspecified lump in breast
N64,Other disorders of breast
N70,Salpingitis and oophoritis
N71,"Inflammatory disease of uterus, except cervix"
N72,Inflammatory disease of cervix uteri
N73,Other female pelvic inflammatory diseases
N74,Female pelvic inflammatory disorders in diseases classified elsewhere
N75,Diseases of Bartholin gland
N76,Other inflammation of vagina and vulva
N77,Vulvovaginal ulceration and inflammation in diseases classified elsewhere
N80,Endometriosis
N81,Female genital prolapse
N82,Fistulae involving female genital tract
N83,"Noninflammatory disorders of ovary, fallopian tube and broad ligament"
N84,Polyp of female genital tract
N85,"Other noninflammatory disorders of uterus, except cervix"
N86,Erosion and ectropion of cervix uteri
N87,Dysplasia of cervix uteri
N88,Other noninflammatory disorders of cervix uteri
N89,Other noninflammatory disorders of vagina
N90,Other noninflammatory disorders of vulva and perineum
N91,"Absent, scanty and rare menstruation"
N92,"Excessive, frequent and irregular menstruation"
N93,Other abnormal uterine and vaginal bleeding
N94,Pain and other conditions associated with female genital organs and menstrual cycle
N95,Menopausal and other perimenopausal disorders
N96,Recurrent pregnancy loss
N97,Female infertility
N98,Complications associated with artificial fertilization
N99,"Intraoperative and postprocedural complications and disorders of genitourinary system, not elsewhere classified"
O00,Ectopic pregnancy
O01,Hydatidiform mole
O02,Other abnormal products of conception
O03,Spontaneous abortion
O04,Complications following ectopic and molar pregnancy
O05,"Spontaneous abortion, incomplete, without complication"
O06,"Spontaneous abortion, complete or unspecified"
O07,Failed attempted termination of pregnancy
O08,Complications following ectopic and molar pregnancy
O10,Pre-existing hypertension complicating pregnancy childbirth and the puerperium
O11,"Pre-existing hypertension complicating pregnancy, childbirth and the puerperium"
O12,Gestational [pregnancy-induced] edema and proteinuria without hypertension
O13,Gestational [pregnancy-induced] hypertension without significant proteinuria
O14,Pre-eclampsia
O15,Eclampsia
O16,Unspecified maternal hypertension
O20,Hemorrhage in early pregnancy
O21,Excessive vomiting in pregnancy
O22,Venous complications and hemorrhoids in pregnancy
O23,Infections of genitourinary tract in pregnancy
O24,"Diabetes mellitus in pregnancy, childbirth, and the puerperium"
O25,"Maternal anaemia complicating pregnancy, childbirth and the puerperium"
O26,Maternal care for other conditions predominantly related to pregnancy
O28,Abnormal findings on antenatal screening of mother
O29,Complications of anaesthesia in pregnancy
O30,Multiple gestation
O31,Complications specific to multiple gestation
O32,Maternal care for malpresentation of fetus
O33,Maternal care for disproportion
O34,Maternal care for abnormality of pelvic organs
O35,Maternal care for known or suspected fetal abnormality and damage
O36,Maternal care for other fetal problems
O40,Polyhydramnios
O41,Other disorders of amniotic fluid and membranes
O42,Premature rupture of membranes
O43,Placental disorders
O44,Placenta previa
O45,Premature separation of placenta [abruptio placentae]
O46,"Antepartum haemorrhage, not elsewhere classified"
O47,False labor
O48,Late pregnancy
O60,Preterm labor
O61,Failed induction of labour
O62,Abnormalities of forces of labor
O63,Long labour
O64,Obstructed labor due to malposition and malpresentation of fetus
O65,Obstructed labor due to maternal pelvic abnormality
O66,Other obstructed labor
O67,"Labour and delivery complicated by intrapartum haemorrhage, not elsewhere classified"
O68,Labor and delivery complicated by abnormality of fetal heart rate or rhythm
O69,Labor and delivery complicated by umbilical cord complications
O70,Perineal laceration during delivery
O71,Other obstetric trauma
O72,Postpartum hemorrhage
O73,"Retained placenta and membranes, without hemorrhage"
O74,Complications of anaesthesia in labour and delivery
O75,"Other complications of labor and delivery, not elsewhere classified"
O80,Encounter for full-term uncomplicated delivery
O81,Encounter for cesarean delivery without indication
O82,Encounter for cesarean delivery
O83,Other assisted single delivery
O84,Multiple delivery
O85,Puerperal sepsis
O86,Other puerperal infections
O87,Venous complications and hemorrhoids in the puerperium
O88,"Embolism complicating pregnancy, childbirth and the puerperium"
O89,Complications of anaesthesia in the puerperium
O90,"Complications of the puerperium, not elsewhere classified"
O91,Infections of breast associated with pregnancy the puerperium and lactation
O92,Other disorders of breast and disorders of lactation associated with pregnancy and the puerperium
O98,Maternal infectious and parasitic diseases classifiable elsewhere but complicating pregnancy childbirth and the puerperium
O99,Other maternal diseases classifiable elsewhere but complicating pregnancy childbirth and the puerperium
P14,Birth trauma to central nervous system
P35,Congenital viral diseases
P39,Other perinatal infections
P92,Feeding problems in newborn
Q00,Anencephaly and related malformations
Q01,Encephalocele
Q02,Microcephaly
Q03,Congenital hydrocephalus
Q04,Other congenital malformations of brain
Q05,Spina bifida
Q06,Other congenital malformations of spinal cord
Q07,Other congenital malformations of nervous system
Q10,"Congenital malformations of eyelid, lacrimal apparatus and orbit"
Q11,"Anophthalmos, microphthalmos and macrophthalmos"
Q12,Congenital malformations of lens
Q13,Congenital malformations of anterior segment of eye
Q14,Congenital malformations of posterior segment of eye
Q15,Other congenital malformations of eye
Q16,Congenital malformations of ear causing impairment of hearing
Q17,Other congenital malformations of ear
Q18,Other congenital malformations of face and neck
Q20,Congenital malformations of cardiac chambers and connections
Q21,Congenital malformations of cardiac septa
Q22,Congenital malformations of pulmonary and tricuspid valves
Q23,Congenital malformations of aortic and mitral valves
Q24,Other congenital malformations of heart
Q25,Congenital malformations of great arteries
Q26,Other congenital malformations of great veins
Q27,Other congenital malformations of peripheral vascular system
Q28,Other congenital malformations of circulatory system
Q30,Congenital malformations of nose
Q31,Congenital malformations of larynx
Q32,Congenital malformations of trachea and bronchus
Q33,Congenital malformations of lung
Q34,Other congenital malformations of respiratory system
Q35,Cleft palate alone
Q36,Cleft lip alone
Q37,Cleft palate with cleft lip
Q38,"Other congenital malformations of tongue, mouth and pharynx"
Q39,Other congenital malformations of upper digestive tract
Q40,Other congenital malformations of lower digestive tract
Q42,"Congenital absence, atresia and stenosis of large intestine"
Q43,Other congenital malformations of digestive system
Q44,"Congenital malformations of gallbladder, bile ducts and liver"
Q45,Other congenital malformations of digestive system
Q50,"Congenital malformations of ovary, fallopian tube and broad ligament"
Q51,Congenital malformations of uterus and cervix
Q52,Other congenital malformations of female genitalia
Q53,Undescended testicle
Q54,Hypospadias and epispadias
Q55,Other congenital malformations of male genital organs
Q60,Renal agenesis and other reduction defects of kidney
Q61,Cystic kidney disease
Q62,Congenital obstructive defects of renal pelvis and congenital malformations of ureter
Q63,Other congenital malformations of kidney
Q64,Other congenital malformations of urinary system
Q65,Congenital deformities of hip
Q66,Congenital deformities of feet
Q67,"Congenital musculoskeletal deformities of head, face, vertebral column and chest"
Q68,Other congenital musculoskeletal deformities
Q69,Polydactyly
Q70,Syndactyly
Q71,Reduction defects of upper limb
Q72,Reduction defects of lower limb
Q73,Reduction defects of unspecified limb
Q74,Other congenital malformations of limb(s)
Q75,Other congenital malformations of skull and face bones
Q76,"Congenital malformations of spine and bony thorax, not elsewhere classified"
Q77,Osteochondrodysplasia with defects of growth of tubular bones and spine
Q78,Other osteochondrodysplasias
